"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"VWF","VWF","Bivariate model, Reitsma 2005",0.75,0.67,0.816,0.721,0.567,0.836,8.44,7.74,3.43,17.5,2.8,2.68,1.69,4.63,0.356,0.349,0.244,0.507,0.794,"Univariate model, Glas 2003",7.868,3.889,15.917,2.063,1.358,2.767,0.871,0,8.153,0.933,0,2.855,32.315,14.774,0.141,10,11
"SERPING1","SERPING1","Bivariate model, Reitsma 2005",0.656,0.507,0.78,0.824,0.708,0.9,9.58,8.92,4.26,18.7,3.84,3.69,2.28,6.29,0.424,0.42,0.275,0.592,0.814,"Univariate model, Glas 2003",10.087,4.684,21.722,2.311,1.544,3.078,1.075,0,15.1,1.037,0,3.886,41.464,17.084,0.073,10,11
"CFI","CFI","Bivariate model, Reitsma 2005",0.63,0.511,0.736,0.779,0.645,0.872,6.49,6.01,2.77,13,2.96,2.83,1.74,4.93,0.482,0.478,0.339,0.651,0.754,"Univariate model, Glas 2003",5.98,2.868,12.469,1.788,1.053,2.523,1.081,0,4.551,1.04,0,2.133,12.221,11.392,0.328,10,11
"BCHE","BCHE","Bivariate model, Reitsma 2005",0.741,0.555,0.868,0.639,0.517,0.745,5.34,5.07,2.69,9.55,2.05,2.03,1.6,2.63,0.415,0.407,0.231,0.64,0.719,"Univariate model, Glas 2003",6.496,3.284,12.847,1.871,1.189,2.553,0.558,0,2.898,0.747,0,1.702,0,7.188,0.517,8,10
"GSN","GSN","Bivariate model, Reitsma 2005",0.797,0.686,0.876,0.798,0.659,0.89,17.6,15.5,5.82,41.5,4.15,3.92,2.25,7.36,0.264,0.256,0.151,0.418,0.864,"Univariate model, Glas 2003",18.168,7.208,45.793,2.9,1.975,3.824,1.709,0,9.486,1.307,0,3.08,26.221,13.554,0.194,10,11
"C2","C2","Bivariate model, Reitsma 2005",0.628,0.552,0.698,0.751,0.669,0.819,5.18,5.1,3.61,7.22,2.55,2.52,1.98,3.3,0.497,0.497,0.418,0.581,0.739,"Univariate model, Glas 2003",5.832,3.887,8.749,1.763,1.358,2.169,0.084,0,2.337,0.29,0,1.529,7.88,10.855,0.369,10,11
"APOA4","APOA4","Bivariate model, Reitsma 2005",0.706,0.574,0.81,0.805,0.668,0.895,10.4,9.91,5.46,18,3.75,3.6,2.28,6.08,0.372,0.369,0.256,0.504,0.819,"Univariate model, Glas 2003",11.137,5.747,21.585,2.41,1.749,3.072,0.637,0,9.218,0.798,0,3.036,31.348,14.566,0.149,10,11
"PROS1","PROS1","Bivariate model, Reitsma 2005",0.664,0.574,0.744,0.696,0.622,0.761,4.61,4.52,3.08,6.63,2.19,2.17,1.78,2.7,0.485,0.484,0.379,0.6,0.732,"Univariate model, Glas 2003",4.581,3.021,6.946,1.522,1.106,1.938,0.194,0,1.007,0.44,0,1.004,0,9.687,0.468,10,11
"C8A","C8A","Bivariate model, Reitsma 2005",0.612,0.526,0.693,0.707,0.589,0.802,3.92,3.81,2.34,6.18,2.12,2.08,1.53,2.96,0.553,0.551,0.446,0.674,0.693,"Univariate model, Glas 2003",4.254,2.528,7.16,1.448,0.927,1.969,0.384,0,2.649,0.62,0,1.627,9.332,11.029,0.355,10,11
"C8B","C8B","Bivariate model, Reitsma 2005",0.657,0.507,0.781,0.753,0.615,0.853,6.16,5.83,3.04,11.2,2.72,2.63,1.77,4.16,0.463,0.46,0.309,0.636,0.765,"Univariate model, Glas 2003",6.274,3.266,12.052,1.836,1.183,2.489,0.764,0,2.968,0.874,0,1.723,7.26,10.783,0.375,10,11
"GP1BA","GP1BA","Bivariate model, Reitsma 2005",0.673,0.503,0.807,0.704,0.545,0.826,5.02,4.9,3.23,7.44,2.3,2.26,1.69,3.18,0.47,0.467,0.327,0.627,0.742,"Univariate model, Glas 2003",5.225,3.419,7.986,1.654,1.229,2.078,0,0,1.08,0,0,1.039,0,6.574,0.583,8,9
"SERPINA6","SERPINA6","Bivariate model, Reitsma 2005",0.67,0.544,0.775,0.706,0.596,0.796,4.94,4.86,3.39,6.98,2.29,2.26,1.81,2.92,0.472,0.47,0.354,0.598,0.742,"Univariate model, Glas 2003",5.39,3.448,8.427,1.685,1.238,2.131,0.192,0,3.238,0.438,0,1.799,14.037,11.633,0.31,10,11
"LPA","LPA","Bivariate model, Reitsma 2005",0.59,0.529,0.649,0.642,0.544,0.729,2.63,2.58,1.81,3.69,1.66,1.65,1.33,2.1,0.642,0.64,0.553,0.744,0.634,"Univariate model, Glas 2003",3.132,2.175,4.51,1.142,0.777,1.506,0.048,0,1.375,0.219,0,1.173,2.915,10.3,0.415,10,11
"SERPINF2","SERPINF2","Bivariate model, Reitsma 2005",0.733,0.597,0.836,0.68,0.547,0.789,6.51,5.85,2.34,14.6,2.35,2.28,1.48,3.63,0.406,0.394,0.23,0.647,0.761,"Univariate model, Glas 2003",5.898,2.701,12.879,1.775,0.994,2.556,1.191,0,11.578,1.091,0,3.403,42.848,17.497,0.064,10,11
"SAA1","SAA1","Bivariate model, Reitsma 2005",0.741,0.605,0.843,0.78,0.584,0.9,12.2,10.2,3.09,33.3,3.68,3.35,1.68,7.6,0.348,0.336,0.194,0.569,0.819,"Univariate model, Glas 2003",7.791,3.438,17.653,2.053,1.235,2.871,1.191,0,16.686,1.092,0,4.085,51.109,20.454,0.025,10,11
"SAA2","SAA2","Bivariate model, Reitsma 2005",0.686,0.563,0.788,0.784,0.64,0.881,8.86,7.92,3.12,20.1,3.33,3.15,1.8,5.92,0.411,0.404,0.263,0.6,0.793,"Univariate model, Glas 2003",6.302,3.147,12.622,1.841,1.146,2.535,0.798,0,9.831,0.893,0,3.136,40.156,16.71,0.081,10,11
"C7","C7","Bivariate model, Reitsma 2005",0.609,0.536,0.678,0.685,0.567,0.784,3.46,3.39,2.31,4.98,1.97,1.93,1.49,2.63,0.574,0.573,0.495,0.662,0.671,"Univariate model, Glas 2003",3.588,2.512,5.125,1.278,0.921,1.634,0.042,0,1.859,0.204,0,1.364,2.566,10.263,0.418,10,11
"F5","F5","Bivariate model, Reitsma 2005",0.64,0.584,0.692,0.738,0.625,0.826,5.13,4.99,3.17,7.85,2.49,2.44,1.76,3.54,0.492,0.491,0.425,0.57,0.695,"Univariate model, Glas 2003",5.634,3.627,8.752,1.729,1.289,2.169,0.171,0,2.458,0.414,0,1.568,4.968,10.523,0.396,10,11
"C6","C6","Bivariate model, Reitsma 2005",0.661,0.556,0.752,0.793,0.647,0.889,7.81,7.47,4.17,13.4,3.32,3.18,2,5.46,0.433,0.432,0.337,0.537,0.767,"Univariate model, Glas 2003",7.968,4.412,14.388,2.075,1.484,2.666,0.533,0,2.577,0.73,0,1.605,4.697,10.493,0.398,10,11
"SELL","SELL","Bivariate model, Reitsma 2005",0.766,0.671,0.84,0.589,0.53,0.646,4.81,4.7,3.07,7.2,1.86,1.86,1.62,2.13,0.401,0.397,0.281,0.543,0.662,"Univariate model, Glas 2003",6.379,3.363,12.096,1.853,1.213,2.493,0.665,0,6.905,0.816,0,2.628,26.138,13.539,0.195,10,11
"LBP","LBP","Bivariate model, Reitsma 2005",0.738,0.636,0.819,0.74,0.565,0.861,8.98,7.99,3.09,20.6,3,2.82,1.64,5.4,0.367,0.358,0.234,0.549,0.795,"Univariate model, Glas 2003",8.263,3.522,19.385,2.112,1.259,2.964,1.435,0,8.4,1.198,0,2.898,27.341,13.763,0.184,10,11
"ORM2","ORM2","Bivariate model, Reitsma 2005",0.599,0.523,0.671,0.737,0.653,0.807,4.27,4.19,2.85,6.17,2.3,2.27,1.77,3,0.546,0.545,0.457,0.642,0.711,"Univariate model, Glas 2003",4.653,2.855,7.583,1.537,1.049,2.026,0.311,0,4.678,0.557,0,2.163,23.537,13.078,0.219,10,11
"ITIH2","ITIH2","Bivariate model, Reitsma 2005",0.794,0.69,0.869,0.755,0.668,0.825,12.4,11.9,6.68,21,3.27,3.22,2.41,4.43,0.279,0.275,0.178,0.404,0.834,"Univariate model, Glas 2003",15.406,7.576,31.332,2.735,2.025,3.445,0.835,0,5.936,0.914,0,2.436,19.609,12.439,0.257,10,11
"ITIH1","ITIH1","Bivariate model, Reitsma 2005",0.812,0.705,0.887,0.772,0.625,0.873,15.6,14.6,7.39,29,3.7,3.54,2.24,6.07,0.25,0.246,0.156,0.369,0.861,"Univariate model, Glas 2003",17.957,9.065,35.57,2.888,2.204,3.572,0.715,0,3.292,0.845,0,1.814,6.102,10.65,0.385,10,11
"ITGAL","ITGAL","Bivariate model, Reitsma 2005",0.868,0.748,0.936,0.722,0.533,0.855,20.2,17,5.44,53.5,3.3,3.09,1.81,5.99,0.197,0.186,0.088,0.374,0.882,"Univariate model, Glas 2003",18.053,5.638,57.812,2.893,1.729,4.057,0,0,1367.011,0,0,36.973,0,0.5,0.479,1,2
"C4BPB","C4BPB","Bivariate model, Reitsma 2005",0.678,0.573,0.767,0.741,0.594,0.849,6.31,6.02,3.29,11,2.7,2.61,1.74,4.23,0.442,0.439,0.331,0.567,0.757,"Univariate model, Glas 2003",6.726,3.463,13.064,1.906,1.242,2.57,0.745,0,6.644,0.863,0,2.578,16.966,12.043,0.282,10,11
"GPX3","GPX3","Bivariate model, Reitsma 2005",0.705,0.612,0.784,0.68,0.572,0.772,5.27,5.08,3.01,8.59,2.23,2.2,1.65,3.03,0.439,0.436,0.322,0.574,0.747,"Univariate model, Glas 2003",5.895,3.339,10.406,1.774,1.206,2.342,0.511,0,2.04,0.715,0,1.428,0.438,10.044,0.437,10,11
"CPN2","CPN2","Bivariate model, Reitsma 2005",0.711,0.608,0.796,0.681,0.55,0.788,5.37,5.23,3.34,8.2,2.26,2.21,1.67,3.1,0.43,0.428,0.326,0.546,0.751,"Univariate model, Glas 2003",5.717,3.689,8.86,1.743,1.305,2.181,0.186,0,1.322,0.431,0,1.15,0,9.397,0.495,10,11
"FBLN1","FBLN1","Bivariate model, Reitsma 2005",0.659,0.501,0.788,0.67,0.539,0.779,4.28,3.93,1.75,8.81,2.03,1.98,1.33,3.03,0.52,0.511,0.315,0.772,0.711,"Univariate model, Glas 2003",3.456,1.894,6.307,1.24,0.639,1.842,0.603,0,12.189,0.776,0,3.491,48.879,19.561,0.034,10,11
"AZGP1","AZGP1","Bivariate model, Reitsma 2005",0.631,0.527,0.724,0.727,0.604,0.823,4.7,4.56,2.78,7.47,2.36,2.3,1.67,3.34,0.512,0.511,0.4,0.634,0.724,"Univariate model, Glas 2003",4.852,2.924,8.05,1.579,1.073,2.086,0.351,0,2.704,0.593,0,1.644,9.784,11.085,0.351,10,11
"CFP","CFP","Bivariate model, Reitsma 2005",0.732,0.629,0.815,0.666,0.595,0.73,5.64,5.46,3.3,9.03,2.2,2.18,1.77,2.72,0.407,0.403,0.281,0.554,0.718,"Univariate model, Glas 2003",7.1,3.748,13.45,1.96,1.321,2.599,0.509,0,7.972,0.714,0,2.824,20.911,11.38,0.251,9,10
"SERPINA4","SERPINA4","Bivariate model, Reitsma 2005",0.745,0.635,0.832,0.696,0.593,0.782,6.81,6.69,4.63,9.66,2.46,2.44,1.95,3.13,0.37,0.367,0.266,0.488,0.777,"Univariate model, Glas 2003",7.977,4.998,12.732,2.077,1.609,2.544,0.173,0,5.717,0.416,0,2.391,17.765,12.16,0.274,10,11
"IGFALS","IGFALS","Bivariate model, Reitsma 2005",0.653,0.522,0.764,0.767,0.671,0.842,6.69,6.18,2.86,13.4,2.86,2.79,1.81,4.35,0.46,0.454,0.301,0.651,0.779,"Univariate model, Glas 2003",6.629,3.105,14.154,1.891,1.133,2.65,1.199,0,4.536,1.095,0,2.13,10.949,11.23,0.34,10,11
"CFHR2","CFHR2","Bivariate model, Reitsma 2005",0.671,0.555,0.769,0.721,0.538,0.851,5.6,5.27,2.64,10.5,2.51,2.39,1.53,4.18,0.466,0.462,0.341,0.612,0.74,"Univariate model, Glas 2003",5.45,2.778,10.693,1.696,1.022,2.37,0.653,0,3.811,0.808,0,1.952,12.759,10.316,0.325,9,10
"AFM","AFM","Bivariate model, Reitsma 2005",0.732,0.665,0.791,0.8,0.677,0.884,11.9,10.9,4.83,24.6,3.82,3.65,2.17,6.49,0.341,0.336,0.249,0.462,0.804,"Univariate model, Glas 2003",9.977,4.744,20.982,2.3,1.557,3.044,1.028,0,8.331,1.014,0,2.886,29.116,14.108,0.168,10,11
"RPIA","RPIA","Bivariate model, Reitsma 2005",0.81,0.7,0.887,0.665,0.525,0.781,9.31,8.49,3.66,19.7,2.48,2.41,1.66,3.73,0.296,0.287,0.167,0.478,0.822,"Univariate model, Glas 2003",10.132,2.778,36.95,2.316,1.022,3.61,0.343,0,1622.707,0.585,0,40.283,0,1,0.317,1,2
"LUM","LUM","Bivariate model, Reitsma 2005",0.787,0.671,0.869,0.743,0.605,0.845,11.2,10.7,5.85,19.5,3.14,3.05,2.07,4.78,0.294,0.29,0.189,0.423,0.831,"Univariate model, Glas 2003",12.219,6.563,22.749,2.503,1.881,3.125,0.568,0,5.632,0.754,0,2.373,13.844,11.607,0.312,10,11
"APOC4","APOC4","Bivariate model, Reitsma 2005",0.641,0.576,0.702,0.7,0.525,0.832,4.48,4.18,2.01,8.66,2.24,2.14,1.36,3.74,0.523,0.515,0.41,0.685,0.678,"Univariate model, Glas 2003",4.423,2.187,8.945,1.487,0.782,2.191,0.783,0,3.47,0.885,0,1.863,6.113,8.521,0.384,8,9
"PLTP","PLTP","Bivariate model, Reitsma 2005",0.643,0.542,0.734,0.799,0.755,0.837,7.37,7.18,4.57,11.3,3.21,3.19,2.53,4.01,0.449,0.447,0.336,0.572,0.809,"Univariate model, Glas 2003",6.475,4.132,10.145,1.868,1.419,2.317,0.047,0,3.617,0.217,0,1.902,2.855,8.235,0.411,8,9
"EIF3B","EIF3B","Bivariate model, Reitsma 2005",0.783,0.662,0.87,0.703,0.519,0.838,9.7,8.53,3.15,23.1,2.77,2.62,1.58,4.85,0.323,0.312,0.18,0.527,0.809,"Univariate model, Glas 2003",8.849,3.225,24.281,2.18,1.171,3.19,0,0,1004.743,0,0,31.698,0,0.386,0.535,1,2
